Price,Price_in_BTC
2014-09-17,0.20645741426236003
2014-09-18,0.2192771632256139
2014-09-19,0.234070269215235
2014-09-22,0.22757563013380847
2014-09-23,0.2101007149930473
2014-09-24,0.21927908695828058
2014-09-25,0.22481983222131655
2014-09-26,0.23129134880115734
2014-09-29,0.25187299296782334
2014-09-30,0.23558965536251336
2014-10-01,0.23651318552880538
2014-10-02,0.2426467566976685
2014-10-03,0.24961614496647805
2014-10-06,0.27369203614376403
2014-10-07,0.2642874215154151
2014-10-08,0.2473791493019798
2014-10-09,0.23496955398685013
2014-10-10,0.23735900596100631
2014-10-13,0.21961301987651768
2014-10-14,0.20415595413661752
2014-10-15,0.20715701594366445
2014-10-16,0.21617749297101574
2014-10-17,0.21563068638984928
2014-10-20,0.21604043103802173
2014-10-21,0.21426999482707418
2014-10-22,0.21014829091187712
2014-10-23,0.22903488988308507
2014-10-24,0.22606706347310468
2014-10-27,0.22946889807537887
2014-10-28,0.22767309127752386
2014-10-29,0.24494100292034499
2014-10-30,0.23492276239037296
2014-10-31,0.23805793162845412
2014-11-03,0.24050996856601922
2014-11-04,0.2335608771619757
2014-11-05,0.23176214058675454
2014-11-06,0.2230524829114585
2014-11-07,0.2296920390846732
2014-11-10,0.21094286325476572
2014-11-11,0.21196916163912408
2014-11-12,0.1822169639318329
2014-11-13,0.17638181199137368
2014-11-14,0.19058966913936343
2014-11-17,0.195246358979045
2014-11-18,0.19885500721949542
2014-11-19,0.19597693701681132
2014-11-20,0.2112117220113322
2014-11-21,0.2180716546571604
2014-11-24,0.2010607522478011
2014-11-25,0.19739014974954475
2014-11-26,0.20004344386942716
2014-11-28,0.17572195584826292
2014-12-01,0.1819404366264052
2014-12-02,0.1753930394167874
2014-12-03,0.17967519665816212
2014-12-04,0.18076102220889387
2014-12-05,0.17470955769457513
2014-12-08,0.17421506465029105
2014-12-09,0.18119408878143523
2014-12-10,0.1759415655302595
2014-12-11,0.17103843790641338
2014-12-12,0.16398046943169448
2014-12-15,0.16189607392545155
2014-12-16,0.17100732674900682
2014-12-17,0.17659236793333347
2014-12-18,0.1737658842410453
2014-12-19,0.17782365116961668
2014-12-22,0.16650295763587747
2014-12-23,0.17072558514784159
2014-12-24,0.17312903676616273
2014-12-26,0.1668984205727206
2014-12-29,0.1714587210415115
2014-12-30,0.17416657500370744
2014-12-31,0.16636841403480948
2015-01-02,0.16725283927521237
2015-01-05,0.18231235415218472
2015-01-06,0.16747674118168562
2015-01-07,0.16528673118824738
2015-01-08,0.17219048270395207
2015-01-09,0.1665243462939449
2015-01-12,0.17203394157061216
2015-01-13,0.2031780649486766
2015-01-14,0.27220204267282877
2015-01-15,0.22040182846027032
2015-01-16,0.23397741725323903
2015-01-20,0.21953007999283689
2015-01-21,0.21058012274711335
2015-01-22,0.19840963904413142
2015-01-23,0.1957669029098363
2015-01-26,0.16509857593261054
2015-01-27,0.17546256180395803
2015-01-28,0.1900263003174264
2015-01-29,0.19069601558021862
2015-01-30,0.21305068357419768
2015-02-02,0.20807709759107018
2015-02-03,0.23342484636338517
2015-02-04,0.2135744356071465
2015-02-05,0.23250780154823533
2015-02-06,0.23255917289245642
2015-02-09,0.2401526530542638
2015-02-10,0.22753014446981953
2015-02-11,0.22282547024931174
2015-02-12,0.23092114742148603
2015-02-13,0.22418838256202112
2015-02-17,0.21973645845893183
2015-02-18,0.2206274320256361
2015-02-19,0.21291559883044509
2015-02-20,0.2064985036273415
2015-02-23,0.2069973088956291
2015-02-24,0.20642134020276579
2015-02-25,0.2147218655676723
2015-02-26,0.20374239387175275
2015-02-27,0.19603825325496943
2015-03-02,0.1798889895058814
2015-03-03,0.1793384541184951
2015-03-04,0.18869097885844383
2015-03-05,0.18379449724916602
2015-03-06,0.18190619080863868
2015-03-09,0.1726477637878481
2015-03-10,0.16551274780364655
2015-03-11,0.16252837929159397
2015-03-12,0.1598415466162495
2015-03-13,0.15714751073351085
2015-03-16,0.15100158304567948
2015-03-17,0.15222149644035526
2015-03-18,0.1742495986738436
2015-03-19,0.16847558545881802
2015-03-20,0.174671163814909
2015-03-23,0.17788859001324403
2015-03-24,0.19344855589645532
2015-03-25,0.19988057466215656
2015-03-26,0.206935126201567
2015-03-27,0.19783101399177838
2015-03-30,0.19666620925930584
2015-03-31,0.19490303436376474
2015-04-01,0.20257044675363212
2015-04-02,0.19422540440419045
2015-04-06,0.20407683408023114
2015-04-07,0.21320799867216347
2015-04-08,0.20577743025460216
2015-04-09,0.20843251688369427
2015-04-10,0.21874681464901105
2015-04-13,0.23113536647060093
2015-04-14,0.24315680280814247
2015-04-15,0.25192889907021687
2015-04-16,0.24810454239587282
2015-04-17,0.25008749352612947
2015-04-20,0.2509949840670766
2015-04-21,0.23488006911657092
2015-04-22,0.23981962744669008
2015-04-23,0.2441829989906286
2015-04-24,0.24711590102649844
2015-04-27,0.2485542196256517
2015-04-28,0.2526399789806976
2015-04-29,0.25942394503030125
2015-04-30,0.2525143449544033
2015-05-01,0.2548701212246612
2015-05-04,0.246550464738765
2015-05-05,0.2558010552378486
2015-05-06,0.2651643771930832
2015-05-07,0.24834199363620274
2015-05-08,0.2435383710702032
2015-05-11,0.24467495946929524
2015-05-12,0.25195759697993536
2015-05-13,0.2559470687976912
2015-05-14,0.2527339449883976
2015-05-15,0.2512152509417577
2015-05-18,0.25492432818177074
2015-05-19,0.2468667272464967
2015-05-20,0.252031887241791
2015-05-21,0.25800531448625424
2015-05-22,0.24847304504786133
2015-05-26,0.24473253359763816
2015-05-27,0.24236880504577996
