Price,Price_in_BTC
2014-09-17,8.907209907218915
2014-09-18,9.667043762425356
2014-09-19,10.385338118179517
2014-09-22,10.098743507695605
2014-09-23,9.297048830325549
2014-09-24,9.674531700950585
2014-09-25,9.737787174200013
2014-09-26,10.023416191034874
2014-09-29,10.779055998214464
2014-09-30,10.465209303198634
2014-10-01,10.387341714148974
2014-10-02,10.626946861356938
2014-10-03,11.202157737255218
2014-10-06,12.167601991451761
2014-10-07,11.774964379654065
2014-10-08,11.4498784190902
2014-10-09,10.874074881625312
2014-10-10,10.705936967827581
2014-10-13,9.75374854823926
2014-10-14,9.505450638823579
2014-10-15,9.59024521019839
2014-10-16,9.842428380942428
2014-10-17,9.94238560341478
2014-10-20,10.108738695255864
2014-10-21,10.275929438796375
2014-10-22,10.307993559065515
2014-10-23,11.194419090019863
2014-10-24,11.279688584358924
2014-10-27,11.462169820651344
2014-10-28,11.483285939315916
2014-10-29,12.189093292627588
2014-10-30,11.875415136464541
2014-10-31,12.290723259561995
2014-11-03,12.72852710851259
2014-11-04,12.575886633272887
2014-11-05,12.233995252006041
2014-11-06,11.921555086765276
2014-11-07,12.150460395062323
2014-11-10,11.380967359722725
2014-11-11,11.387590456342338
2014-11-12,9.90506646362011
2014-11-13,10.014570043296976
2014-11-14,10.620410104559019
2014-11-17,10.876879551399277
2014-11-18,11.306536717917819
2014-11-19,11.096057698676809
2014-11-20,11.854711287623656
2014-11-21,12.11726993411175
2014-11-24,11.367228564312487
2014-11-25,11.424678092099267
2014-11-26,11.721883681110732
2014-11-28,11.522977054278272
2014-12-01,11.306174409154186
2014-12-02,11.292395875767209
2014-12-03,11.50084014684504
2014-12-04,11.666351365811964
2014-12-05,11.440955328927165
2014-12-08,11.821590190229658
2014-12-09,12.193180928114097
2014-12-10,12.197740061224591
2014-12-11,12.115284290525494
2014-12-12,11.911431483948887
2014-12-15,12.038425752666626
2014-12-16,12.5040510702081
2014-12-17,13.025055304139364
2014-12-18,13.705282254966374
2014-12-19,13.471367811996434
2014-12-22,12.937183547213671
2014-12-23,12.790370742995579
2014-12-24,13.279530663574292
2014-12-26,13.15576077385199
2014-12-29,13.792944483035646
2014-12-30,13.781268739755436
2014-12-31,13.230395029242999
2015-01-02,13.42796941461318
2015-01-05,15.159760034618774
2015-01-06,14.364039654756356
2015-01-07,14.133458996447322
2015-01-08,14.965818899316947
2015-01-09,14.508140056277322
2015-01-12,15.571443825562193
2015-01-13,18.445859776222523
2015-01-14,23.27776577390402
2015-01-15,19.489001432193046
2015-01-16,19.90485270950066
2015-01-20,19.73929873764689
2015-01-21,18.4757391464461
2015-01-22,18.295843963218765
2015-01-23,18.370656766320543
2015-01-26,15.634890248062668
2015-01-27,15.809848765554003
2015-01-28,17.70036124938706
2015-01-29,17.90628397096927
2015-01-30,18.321431466793324
2015-02-02,17.582199375682784
2015-02-03,18.608646190378614
2015-02-04,18.607645719342347
2015-02-05,19.6037065102604
2015-02-06,19.0253122506037
2015-02-09,19.15446745744873
2015-02-10,19.47406997072123
2015-02-11,19.605720432610713
2015-02-12,19.606293476201166
2015-02-13,18.62160987816146
2015-02-17,18.001477085352693
2015-02-18,18.579885756980904
2015-02-19,18.361098271075335
2015-02-20,18.225727720077384
2015-02-23,18.625530642322644
2015-02-24,18.64422800920148
2015-02-25,18.69958235113219
2015-02-26,18.873855313276128
2015-02-27,17.494799118382154
2015-03-02,16.262377430698354
2015-03-03,15.828002111623778
2015-03-04,16.277883249583542
2015-03-05,16.12025546197093
2015-03-06,16.130763120193425
2015-03-09,15.237857911649108
2015-03-10,14.83781167132059
2015-03-11,14.526602474302512
2015-03-12,14.731343630201863
2015-03-13,15.122118117978085
2015-03-16,15.039833751848716
2015-03-17,15.325930572070032
2015-03-18,17.255236291267654
2015-03-19,16.965675094142295
2015-03-20,17.033647347886923
2015-03-23,16.66619255386626
2015-03-24,18.04185839431278
2015-03-25,17.584657528677045
2015-03-26,17.362994728628976
2015-03-27,17.539882933738983
2015-03-30,17.706502779212055
2015-03-31,17.744734173279824
2015-04-01,17.435292755703752
2015-04-02,17.058989673441836
2015-04-06,17.029808783174122
2015-04-07,17.15807016270819
2015-04-08,17.85945712733817
2015-04-09,18.072975130795797
2015-04-10,18.73165772694646
2015-04-13,19.632524815311086
2015-04-14,20.06598043111916
2015-04-15,19.767102850552924
2015-04-16,19.3322488477786
2015-04-17,19.525128681548555
2015-04-20,19.665576394139297
2015-04-21,18.854927905530136
2015-04-22,19.048963840260722
2015-04-23,18.93356952872901
2015-04-24,19.616979780132198
2015-04-27,19.73535291382477
2015-04-28,19.99189792099291
2015-04-29,19.875956250587475
2015-04-30,18.692963730483573
2015-05-01,19.29972190460336
2015-05-04,18.754276927052654
2015-05-05,18.674281811810015
2015-05-06,19.06045749539826
2015-05-07,18.54580385228908
2015-05-08,18.283420534575377
2015-05-11,18.329520600007548
2015-05-12,18.33442512731057
2015-05-13,18.726695402545563
2015-05-14,18.972097222589852
2015-05-15,18.914964415209894
2015-05-18,19.35824988642371
2015-05-19,19.417022397191634
2015-05-20,19.251936608652088
2015-05-21,19.246168704595274
2015-05-22,18.835854763057643
2015-05-26,18.864015973606584
2015-05-27,19.158810228223658
2015-05-28,19.104916705824643
2015-05-29,19.014450401114715
2015-06-01,20.284086206417417
2015-06-02,19.968247813504657
2015-06-03,20.010536869924888
2015-06-04,20.002450395876608
2015-06-05,19.902868274169283
2015-06-08,19.39484962690965
2015-06-09,19.330488731847343
2015-06-10,19.6040265336733
2015-06-11,19.5401501014983
