Date,Price_in_BTC
2014-09-17,0.2510200407435752
2014-09-18,0.2717934217952912
2014-09-19,0.2761932838229298
2014-09-22,0.2697487546590961
2014-09-23,0.2503952731369239
2014-09-24,0.2614335910495132
2014-09-25,0.2843717034058686
2014-09-26,0.2899919696340184
2014-09-29,0.3042610793215448
2014-09-30,0.2975107578201176
2014-10-01,0.2898739615996314
2014-10-02,0.2862383840862582
2014-10-03,0.3106433230403254
2014-10-06,0.3429481836633389
2014-10-07,0.3395729153201619
2014-10-08,0.3234544196532717
2014-10-09,0.3035400293549829
2014-10-10,0.2920660773296744
2014-10-13,0.2663838889225008
2014-10-14,0.2478609070786287
2014-10-15,0.2482439210749724
2014-10-16,0.2513619018482967
2014-10-17,0.2559946606683014
2014-10-20,0.2578589269963926
2014-10-21,0.2595769405795777
2014-10-22,0.2534724719503388
2014-10-23,0.2691836756067124
2014-10-24,0.2638797729463921
2014-10-27,0.2726430402540247
2014-10-28,0.2662058226756885
2014-10-29,0.2791493197107554
2014-10-30,0.288440655613801
2014-10-31,0.302671123477745
2014-11-03,0.3231222973684953
2014-11-04,0.3204918629211413
2014-11-05,0.3270827173757
2014-11-06,0.3149245535486109
2014-11-07,0.3315275143033737
2014-11-10,0.3045862323412595
2014-11-11,0.3122152892071546
2014-11-12,0.2738684598667348
2014-11-13,0.2825531543427102
2014-11-14,0.2936016094264213
2014-11-17,0.2952959273580034
2014-11-18,0.3076775543641996
2014-11-19,0.2964092055622016
2014-11-20,0.3118712262917159
2014-11-21,0.323558917964088
2014-11-24,0.316051171097817
2014-11-25,0.3150143344355819
2014-11-26,0.3242392269310899
2014-11-28,0.3174948917405697
2014-12-01,0.3079803413507576
2014-12-02,0.3136514370228564
2014-12-03,0.322551387788477
2014-12-04,0.3532429199325185
2014-12-05,0.3748931875868914
2014-12-08,0.3934690633318025
2014-12-09,0.3929373378462025
2014-12-10,0.4060456551757194
2014-12-11,0.3971401122870891
2014-12-12,0.393485043753099
2014-12-15,0.418364230600821
2014-12-16,0.4556933790717846
2014-12-17,0.4505654001271184
2014-12-18,0.4557540878792108
2014-12-19,0.4618632753529762
2014-12-22,0.4505161725166525
2014-12-23,0.4624415832706618
2014-12-24,0.4623388439589228
2014-12-26,0.4440053217121276
2014-12-29,0.4569674057209695
2014-12-30,0.4412734734925453
2014-12-31,0.4207462502206425
2015-01-02,0.4245917526246567
2015-01-05,0.4616830798966951
2015-01-06,0.436634535603664
2015-01-07,0.458250244820155
2015-01-08,0.4568218094559053
2015-01-09,0.433045944610228
2015-01-12,0.4696112221128349
2015-01-13,0.5405094545841224
2015-01-14,0.6575970356124378
2015-01-15,0.58329046788851
2015-01-16,0.584342870886126
2015-01-20,0.5466720077061162
2015-01-21,0.496436699533461
2015-01-22,0.4791650323054378
2015-01-23,0.4589507781373791
2015-01-26,0.4171527177889744
2015-01-27,0.4639529178556813
2015-01-28,0.5089028250955832
2015-01-29,0.5207418782673882
2015-01-30,0.5222038037766589
2015-02-02,0.4849115546339054
2015-02-03,0.5019624370125463
2015-02-04,0.4901852675697742
2015-02-05,0.5011261835856351
2015-02-06,0.5154184365758929
2015-02-09,0.5052019292167161
2015-02-10,0.496363249945219
2015-02-11,0.4715651242632188
2015-02-12,0.4841182380655596
2015-02-13,0.4533039979923448
2015-02-17,0.4525265694658232
2015-02-18,0.4637661391718327
2015-02-19,0.4561287993849314
2015-02-20,0.4620578317847166
2015-02-23,0.4741891716326992
2015-02-24,0.4698096356854266
2015-02-25,0.4857876785166506
2015-02-26,0.5109421369533561
2015-02-27,0.4626755168299461
2015-03-02,0.4335618341542905
2015-03-03,0.4310938659669231
2015-03-04,0.4399982388462028
2015-03-05,0.4339230221747417
2015-03-06,0.432380113347523
2015-03-09,0.383416156981328
2015-03-10,0.3630380950906616
2015-03-11,0.3638584283548572
2015-03-12,0.3799506541569279
2015-03-13,0.3784998015491678
2015-03-16,0.3705526461405621
2015-03-17,0.3760354416708674
2015-03-18,0.4126430360713688
2015-03-19,0.4053225352391069
2015-03-20,0.4034399418164249
2015-03-23,0.4162855401545168
2015-03-24,0.4403998579959359
2015-03-25,0.4087783232320615
2015-03-26,0.3991437636762697
2015-03-27,0.3905614346469608
2015-03-30,0.3613357873053306
2015-03-31,0.3806341696810539
2015-04-01,0.365589312035173
2015-04-02,0.3573051907322964
2015-04-06,0.340676026718707
2015-04-07,0.3387313556251403
2015-04-08,0.3447853754464664
2015-04-09,0.3414369847616245
2015-04-10,0.3951336724361984
2015-04-13,0.4153401418918487
2015-04-14,0.4343878117392677
2015-04-15,0.429606031555133
2015-04-16,0.4115971817973051
2015-04-17,0.4185174091920917
2015-04-20,0.4245278712377957
2015-04-21,0.3876413723720115
2015-04-22,0.3949166668730051
2015-04-23,0.3904221291476535
2015-04-24,0.4192538389773812
2015-04-27,0.4033390838457452
2015-04-28,0.411591511558218
2015-04-29,0.4060086482779769
2015-04-30,0.3902686992936611
2015-05-01,0.3943484706199646
2015-05-04,0.3949493318686
2015-05-05,0.386242630259759
2015-05-06,0.405253691266076
2015-05-07,0.3862910516261463
2015-05-08,0.3798854147021932
2015-05-11,0.3759528866513292
2015-05-12,0.3576760925976976
2015-05-13,0.3519800883120568
2015-05-14,0.3673674417298631
2015-05-15,0.3777698438595037
2015-05-18,0.3788476606360783
2015-05-19,0.3814664599330077
2015-05-20,0.3671512285249068
2015-05-21,0.3514854990150098
2015-05-22,0.3361792094402501
2015-05-26,0.3265912183002508
2015-05-27,0.3304071507562516
2015-05-28,0.342364188019735
