Price,Price_in_BTC
2014-09-17,4.37660414731934
2014-09-18,4.7388558424797145
2014-09-19,5.092250365723805
2014-09-22,4.959045333876877
2014-09-23,4.54981880600972
2014-09-24,4.721825385407881
2014-09-25,4.776759381652275
2014-09-26,4.9028869022331225
2014-09-29,5.26757343129727
2014-09-30,5.097094250894425
2014-10-01,5.073211641157854
2014-10-02,5.188790661037648
2014-10-03,5.473809109282306
2014-10-06,5.9525746463882445
2014-10-07,5.756022416490077
2014-10-08,5.578540264716253
2014-10-09,5.282390722246951
2014-10-10,5.27193107434512
2014-10-13,4.801928166511192
2014-10-14,4.684062100040592
2014-10-15,4.717875695292534
2014-10-16,4.869247929595684
2014-10-17,4.916536023669854
2014-10-20,4.973318193249696
2014-10-21,5.0230415903710774
2014-10-22,5.0295440474998605
2014-10-23,5.442877957271967
2014-10-24,5.482370200120948
2014-10-27,5.557198464840235
2014-10-28,5.550755233616252
2014-10-29,5.9068927016473936
2014-10-30,5.776487646348364
2014-10-31,5.964897132923986
2014-11-03,6.160236624579847
2014-11-04,6.08819562600962
2014-11-05,5.960687602439242
2014-11-06,5.815253546470305
2014-11-07,5.934085811775223
2014-11-10,5.554992171077549
2014-11-11,5.547206279884102
2014-11-12,4.8121757614083815
2014-11-13,4.847065319159616
2014-11-14,5.127520578104743
2014-11-17,5.269173588581273
2014-11-18,5.46857941542584
2014-11-19,5.3835056959785
2014-11-20,5.736502406124802
2014-11-21,5.881464472890954
2014-11-24,5.490592773029172
2014-11-25,5.506969728530726
2014-11-26,5.627032889759607
2014-11-28,5.492300664387862
2014-12-01,5.414547239500768
2014-12-02,5.419535123446069
2014-12-03,5.531399226973759
2014-12-04,5.6057832165707335
2014-12-05,5.507093186420781
2014-12-08,5.692895390973665
2014-12-09,5.8481231921779395
2014-12-10,5.849725208305285
2014-12-11,5.806833225645715
2014-12-12,5.679692066270918
2014-12-15,5.761282189839139
2014-12-16,6.031700165566127
2014-12-17,6.294687557857005
2014-12-18,6.619320756610463
2014-12-19,6.514694319649424
2014-12-22,6.26281351032253
2014-12-23,6.223383839927102
2014-12-24,6.454761063561273
2014-12-26,6.369676961725253
2014-12-29,6.686186645917538
2014-12-30,6.694890215601101
2014-12-31,6.4301841273859415
2015-01-02,6.53330412984869
2015-01-05,7.3616443205687725
2015-01-06,6.997508701629725
2015-01-07,6.882926664893697
2015-01-08,7.277738406295033
2015-01-09,7.041163234181606
2015-01-12,7.573899855033635
2015-01-13,8.95696953916984
2015-01-14,11.292735413622742
2015-01-15,9.495959377374142
2015-01-16,9.704224677725843
2015-01-20,9.571256302017368
2015-01-21,8.956134134395596
2015-01-22,8.83931797190677
2015-01-23,8.810670295384117
2015-01-26,7.522095960089109
2015-01-27,7.703007882389965
2015-01-28,8.559348873077909
2015-01-29,8.655834988945019
2015-01-30,8.810820198060663
2015-02-02,8.482804118935913
2015-02-03,9.020319538377128
2015-02-04,8.999264009414652
2015-02-05,9.499841516226558
2015-02-06,9.247792783747556
2015-02-09,9.298714209072237
2015-02-10,9.409568117537628
2015-02-11,9.437370496782766
2015-02-12,9.41757863852172
2015-02-13,8.90717705631701
2015-02-17,8.621731795198626
2015-02-18,8.884675811592059
2015-02-19,8.729081581364342
2015-02-20,8.656611064100508
2015-02-23,8.83101957035585
2015-02-24,8.861205835174143
2015-02-25,8.901587975557666
2015-02-26,8.927698459586791
2015-02-27,8.291047385275943
2015-03-02,7.680885803465124
2015-03-03,7.4823042092401195
2015-03-04,7.684333296568131
2015-03-05,7.607557337448636
2015-03-06,7.594739244411765
2015-03-09,7.180178553025435
2015-03-10,7.006306435970408
2015-03-11,6.883888552698088
2015-03-12,7.0185896021644325
2015-03-13,7.196402366094352
2015-03-16,7.16187256429771
2015-03-17,7.265301811953446
2015-03-18,8.19160397818348
2015-03-19,8.007074546241565
2015-03-20,8.053899555216976
2015-03-23,7.889405409462303
2015-03-24,8.516052808910718
2015-03-25,8.371547974631428
2015-03-26,8.27317979790141
2015-03-27,8.343230800752078
2015-03-30,8.428367048324409
2015-03-31,8.46718545616672
2015-04-01,8.32965283157561
2015-04-02,8.169640604125123
2015-04-06,8.143582113726746
2015-04-07,8.201003784623374
2015-04-08,8.49678753490057
2015-04-09,8.581805248112815
2015-04-10,8.904317340299388
2015-04-13,9.316789837900975
2015-04-14,9.563103137799555
2015-04-15,9.411614698878646
2015-04-16,9.209267972250556
2015-04-17,9.337586239828791
2015-04-20,9.350653246464768
2015-04-21,8.914434388256929
2015-04-22,9.001605660222697
2015-04-23,8.935600144907578
2015-04-24,9.156865161733872
2015-04-27,9.197770310519019
2015-04-28,9.363352813841555
2015-04-29,9.33027222323696
2015-04-30,8.83148053964077
2015-05-01,9.084363887928417
2015-05-04,8.84657198503296
2015-05-05,8.84910677785399
2015-05-06,9.052710496644762
2015-05-07,8.797728109844458
2015-05-08,8.67741330360286
2015-05-11,8.69403462505861
2015-05-12,8.705996057593461
2015-05-13,8.877682643497732
2015-05-14,8.952471373307755
2015-05-15,8.933860897869666
2015-05-18,9.13317961181094
2015-05-19,9.173776858561927
2015-05-20,9.084130489383439
2015-05-21,9.054066053991363
2015-05-22,8.84575696442365
2015-05-26,8.874137447510025
2015-05-27,8.949144851776902
2015-05-28,8.933102492478358
2015-05-29,8.888340395549765
2015-06-01,9.472784821130212
2015-06-02,9.342657784970832
2015-06-03,9.359510765406565
2015-06-04,9.342914890916434
2015-06-05,9.303451921912052
2015-06-08,9.100131926429727
2015-06-09,9.081720271083192
2015-06-10,9.200928346451073
2015-06-11,9.180732202657548
